year,iso3_code,country,region,total_members,n_dois,dois_per_member
2026,AUS,Australia,East Asia & Pacific,251,831875,3314.2430278884462
2026,BRN,Brunei,East Asia & Pacific,5,941,188.2
2026,CHN,China,East Asia & Pacific,185,531957,2875.443243243243
2026,FJI,Fiji,East Asia & Pacific,1,93,93
2026,HKG,"Hong Kong, China",East Asia & Pacific,147,149568,1017.469387755102
2026,IDN,Indonesia,East Asia & Pacific,4517,3186520,705.4505202568076
2026,JPN,Japan,East Asia & Pacific,684,2750691,4021.4780701754385
2026,KHM,Cambodia,East Asia & Pacific,14,931,66.5
2026,KOR,"Korea, Rep.",East Asia & Pacific,2618,1307120,499.28189457601223
2026,LAO,Lao PDR,East Asia & Pacific,5,2397,479.4
2026,MAC,Macao,East Asia & Pacific,10,698,69.8
2026,MMR,Myanmar,East Asia & Pacific,3,106,35.333333333333336
2026,MNG,Mongolia,East Asia & Pacific,22,7647,347.59090909090907
2026,MYS,Malaysia,East Asia & Pacific,191,178877,936.5287958115183
2026,NZL,New Zealand,East Asia & Pacific,51,134859,2644.294117647059
2026,PHL,Philippines,East Asia & Pacific,176,58314,331.32954545454544
2026,PNG,Papua New Guinea,East Asia & Pacific,1,49,49
2026,PYF,French Polynesia,East Asia & Pacific,1,14,14
2026,SGP,Singapore,East Asia & Pacific,66,791946,11999.181818181818
2026,THA,Thailand,East Asia & Pacific,105,149472,1423.5428571428572
2026,TLS,NA,East Asia & Pacific,4,319,79.75
2026,TWN,Taiwan,East Asia & Pacific,35,37185,1062.4285714285713
2026,VNM,Vietnam,East Asia & Pacific,171,118043,690.3099415204679
2026,WSM,Samoa,East Asia & Pacific,1,11,11
2026,ALB,Albania,Europe & Central Asia,19,4427,233
2026,AND,Andorra,Europe & Central Asia,1,18,18
2026,ARM,Armenia,Europe & Central Asia,61,22603,370.5409836065574
2026,AUT,Austria,Europe & Central Asia,74,141317,1909.6891891891892
2026,AZE,Azerbaijan,Europe & Central Asia,66,39899,604.530303030303
2026,BEL,Belgium,Europe & Central Asia,63,315414,5006.571428571428
2026,BGR,Bulgaria,Europe & Central Asia,90,309275,3436.3888888888887
2026,BIH,Bosnia and Herzegovina,Europe & Central Asia,88,33318,378.6136363636364
2026,BLR,Belarus,Europe & Central Asia,35,25241,721.1714285714286
2026,CHE,Switzerland,Europe & Central Asia,161,5275969,32769.99378881988
2026,CYP,Cyprus,Europe & Central Asia,11,34604,3145.818181818182
2026,CZE,Czech Republic,Europe & Central Asia,131,206472,1576.1221374045801
2026,DEU,Germany,Europe & Central Asia,289,9516488,32929.024221453285
2026,DNK,Denmark,Europe & Central Asia,27,108759,4028.1111111111113
2026,ESP,Spain,Europe & Central Asia,565,847335,1499.7079646017698
2026,EST,Estonia,Europe & Central Asia,19,39873,2098.5789473684213
2026,FIN,Finland,Europe & Central Asia,150,79964,533.0933333333334
2026,FRA,France,Europe & Central Asia,161,3150093,19565.7950310559
